"count","date","ProvinceState","CountryRegion","Lat","Long","oztime","statetime","int","slope"
9,"2020/03/03","Victoria","Australia","-37.8136","144.9631",0,-4,0,0
10,"2020/03/04","Victoria","Australia","-37.8136","144.9631",1,-3,0,0
10,"2020/03/05","Victoria","Australia","-37.8136","144.9631",2,-2,0,0
10,"2020/03/06","Victoria","Australia","-37.8136","144.9631",3,-1,0,0
11,"2020/03/07","Victoria","Australia","-37.8136","144.9631",4,0,0,0
11,"2020/03/08","Victoria","Australia","-37.8136","144.9631",5,1,0,0
15,"2020/03/09","Victoria","Australia","-37.8136","144.9631",6,2,0,0
18,"2020/03/10","Victoria","Australia","-37.8136","144.9631",7,3,0,0
21,"2020/03/11","Victoria","Australia","-37.8136","144.9631",8,4,0,0
21,"2020/03/12","Victoria","Australia","-37.8136","144.9631",9,5,0,0
36,"2020/03/13","Victoria","Australia","-37.8136","144.9631",10,6,0,0
49,"2020/03/14","Victoria","Australia","-37.8136","144.9631",11,7,2.10476939726706,0.243743629769762
57,"2020/03/15","Victoria","Australia","-37.8136","144.9631",12,8,2.0895698082433,0.245376921466811
71,"2020/03/16","Victoria","Australia","-37.8136","144.9631",13,9,2.04717046216408,0.249208160478179
94,"2020/03/17","Victoria","Australia","-37.8136","144.9631",14,10,1.98442111208095,0.256636589878737
121,"2020/03/18","Victoria","Australia","-37.8136","144.9631",15,11,1.97634906408041,0.257013913306219
121,"2020/03/19","Victoria","Australia","-37.8136","144.9631",16,12,2.4303635538658,0.205428875476142
