"count","date","ProvinceState","CountryRegion","Lat","Long","oztime","statetime","int","slope","max","min","incr","double","state"
19,"22/03","Australian Capital Territory","Australia","-35.4735","149.0124",51,0,0,0,0,0,0,0,"ACT"
19,"23/03","Australian Capital Territory","Australia","-35.4735","149.0124",52,1,0,0,0,0,0,0,"ACT"
13,"03/03","New South Wales","Australia","-33.8688","151.2093",32,0,0,0,1,1,0,0,"NSW"
22,"04/03","New South Wales","Australia","-33.8688","151.2093",33,1,0,0,1,1,0,0,"NSW"
22,"05/03","New South Wales","Australia","-33.8688","151.2093",34,2,0,0,1,1,0,0,"NSW"
26,"06/03","New South Wales","Australia","-33.8688","151.2093",35,3,0,0,1,1,0,0,"NSW"
28,"07/03","New South Wales","Australia","-33.8688","151.2093",36,4,0,0,1,1,0,0,"NSW"
38,"08/03","New South Wales","Australia","-33.8688","151.2093",37,5,0,0,1,1,0,0,"NSW"
48,"09/03","New South Wales","Australia","-33.8688","151.2093",38,6,2.70853208515159,0.186682180495044,169.932352534198,12.4516096617833,0.205244174066325,3.71297988228901,"NSW"
55,"10/03","New South Wales","Australia","-33.8688","151.2093",39,7,2.71100041422846,0.185733625296349,202.607613154651,15.0443185393171,0.204101475481338,3.7319423419103,"NSW"
65,"11/03","New South Wales","Australia","-33.8688","151.2093",40,8,2.76892717523605,0.175382502059379,221.332192433415,18.9975434232741,0.191701957898874,3.95220259958013,"NSW"
65,"12/03","New South Wales","Australia","-33.8688","151.2093",41,9,2.78653426576334,0.165852648827403,230.482893977026,22.6065471995376,0.18039915570829,4.17929520849124,"NSW"
92,"13/03","New South Wales","Australia","-33.8688","151.2093",42,10,2.74994510778745,0.173253660737652,297.453330475164,26.3036073138464,0.189167711988515,4.00076499168198,"NSW"
112,"14/03","New South Wales","Australia","-33.8688","151.2093",43,11,2.70731129869485,0.180027652207625,382.913470639358,30.7971424329792,0.197250469282634,3.85022618503375,"NSW"
134,"15/03","New South Wales","Australia","-33.8688","151.2093",44,12,2.73425308727741,0.178354741214569,456.228221634788,37.5632730838274,0.195249250208547,3.88634008739951,"NSW"
171,"16/03","New South Wales","Australia","-33.8688","151.2093",45,13,2.63405330786045,0.189797298872641,620.173504782781,43.5033132167427,0.20900450624154,3.65203922646478,"NSW"
210,"17/03","New South Wales","Australia","-33.8688","151.2093",46,14,2.4954484450294,0.202529855872653,852.842952305479,50.0567537209866,0.224496642992016,3.42244444688581,"NSW"
267,"18/03","New South Wales","Australia","-33.8688","151.2093",47,15,2.35144509497239,0.214656611750923,1180.73281397404,58.4807703935913,0.23943621605126,3.22909774316312,"NSW"
307,"19/03","New South Wales","Australia","-33.8688","151.2093",48,16,2.35280777872656,0.213200783743945,1417.18218852406,71.6372243784163,0.237633122910279,3.25114743195511,"NSW"
353,"20/03","New South Wales","Australia","-33.8688","151.2093",49,17,2.59532450020143,0.195069153636904,1446.61870910286,94.2561462657393,0.215395032570429,3.55334079036478,"NSW"
436,"21/03","New South Wales","Australia","-33.8688","151.2093",50,18,2.66421607865107,0.190275376492089,1670.87127505846,116.424759139698,0.20958264242376,3.64286327184728,"NSW"
533,"22/03","New South Wales","Australia","-33.8688","151.2093",51,19,2.70283818652524,0.188027605974303,1981.39405049519,142.475414958445,0.20686683162448,3.68641177431507,"NSW"
669,"23/03","New South Wales","Australia","-33.8688","151.2093",52,20,2.68418684167458,0.189805301806495,2462.49413286363,172.717232866837,0.20901418186335,3.65188524220784,"NSW"
11,"03/03","Queensland","Australia","-28.0167","153.4",32,0,0,0,1,1,0,0,"QLD"
11,"04/03","Queensland","Australia","-28.0167","153.4",33,1,0,0,1,1,0,0,"QLD"
13,"05/03","Queensland","Australia","-28.0167","153.4",34,2,0,0,1,1,0,0,"QLD"
13,"06/03","Queensland","Australia","-28.0167","153.4",35,3,0,0,1,1,0,0,"QLD"
13,"07/03","Queensland","Australia","-28.0167","153.4",36,4,0,0,1,1,0,0,"QLD"
15,"08/03","Queensland","Australia","-28.0167","153.4",37,5,0,0,1,1,0,0,"QLD"
15,"09/03","Queensland","Australia","-28.0167","153.4",38,6,2.39363701850076,0.0550838443987912,22.4149241943385,10.3662275811291,0.0566292034019125,12.5834931843493,"QLD"
18,"10/03","Queensland","Australia","-28.0167","153.4",39,7,2.37012174840066,0.0658379362602677,26.8926457233326,10.698694753798,0.0680536103768732,10.5280818314205,"QLD"
20,"11/03","Queensland","Australia","-28.0167","153.4",40,8,2.32436884335842,0.0779910424768396,32.9250735177112,11.0492205369729,0.0811129745322019,8.88752295836774,"QLD"
20,"12/03","Queensland","Australia","-28.0167","153.4",41,9,2.33936090585378,0.0746882723928357,34.2735275327559,12.0460577729704,0.0775481970032461,9.28053573008383,"QLD"
35,"13/03","Queensland","Australia","-28.0167","153.4",42,10,2.00035916326567,0.134898357421233,73.2319088639568,11.0790311430112,0.144420456593086,5.13829222097587,"QLD"
