"count","date","ProvinceState","CountryRegion","Lat","Long","oztime","statetime","int","slope","max","min","incr","double","state"
71,"28/03","Australian Capital Territory","Australia","-35.4735","149.0124",57,6,3.17356529607506,0.18784518247252,274.665135947134,19.8007558972891,0.206646690830907,3.68999178704701,"ACT"
77,"29/03","Australian Capital Territory","Australia","-35.4735","149.0124",58,7,3.21598314352422,0.17140269664506,274.683876531966,24.9277874606869,0.186968641082044,4.04396893472051,"ACT"
78,"30/03","Australian Capital Territory","Australia","-35.4735","149.0124",59,8,3.38876720279958,0.132761225855629,217.062556464414,33.836105034329,0.141977291123895,5.22100617927186,"ACT"
80,"31/03","Australian Capital Territory","Australia","-35.4735","149.0124",60,9,3.50373989404936,0.108824448493858,189.602745452557,41.3217415418824,0.114966599093969,6.36940678453394,"ACT"
84,"01/04","Australian Capital Territory","Australia","-35.4735","149.0124",61,10,3.62037569012901,0.0889896442774037,169.558778555275,48.7811819621803,0.0930693367448892,7.78907687729627,"ACT"
87,"02/04","Australian Capital Territory","Australia","-35.4735","149.0124",62,11,3.8389252453136,0.0607303540326495,138.666478954856,59.254792418472,0.0626123464189414,11.4135211559495,"ACT"
91,"03/04","Australian Capital Territory","Australia","-35.4735","149.0124",63,12,3.96652940406782,0.0463661361244164,127.419652620857,66.5770607271959,0.0474578529154333,14.9494272867593,"ACT"
93,"04/04","Australian Capital Territory","Australia","-35.4735","149.0124",64,13,4.06121116676754,0.0367947235099781,121.159230734347,72.383582152532,0.0374800287190045,18.8382222894534,"ACT"
96,"05/04","Australian Capital Territory","Australia","-35.4735","149.0124",65,14,4.09229009848498,0.0339169685702131,122.064114875898,75.9221807706711,0.0344987072552132,20.4365899955071,"ACT"
96,"06/04","Australian Capital Territory","Australia","-35.4735","149.0124",66,15,4.10746504269873,0.0320518264008185,123.051777676774,78.5613347346666,0.0325710183578829,21.6258247468308,"ACT"
48,"09/03","New South Wales","Australia","-33.8688","151.2093",38,6,2.70853208515159,0.186682180495044,169.932352534198,12.4516096617833,0.205244174066325,3.71297988228901,"NSW"
55,"10/03","New South Wales","Australia","-33.8688","151.2093",39,7,2.71100041422846,0.185733625296349,202.607613154651,15.0443185393171,0.204101475481338,3.7319423419103,"NSW"
65,"11/03","New South Wales","Australia","-33.8688","151.2093",40,8,2.76892717523605,0.175382502059379,221.332192433415,18.9975434232741,0.191701957898874,3.95220259958013,"NSW"
65,"12/03","New South Wales","Australia","-33.8688","151.2093",41,9,2.78653426576334,0.165852648827403,230.482893977026,22.6065471995376,0.18039915570829,4.17929520849124,"NSW"
92,"13/03","New South Wales","Australia","-33.8688","151.2093",42,10,2.74994510778745,0.173253660737652,297.453330475164,26.3036073138464,0.189167711988515,4.00076499168198,"NSW"
112,"14/03","New South Wales","Australia","-33.8688","151.2093",43,11,2.70731129869485,0.180027652207625,382.913470639358,30.7971424329792,0.197250469282634,3.85022618503375,"NSW"
134,"15/03","New South Wales","Australia","-33.8688","151.2093",44,12,2.73425308727741,0.178354741214569,456.228221634788,37.5632730838274,0.195249250208547,3.88634008739951,"NSW"
171,"16/03","New South Wales","Australia","-33.8688","151.2093",45,13,2.63405330786045,0.189797298872641,620.173504782781,43.5033132167427,0.20900450624154,3.65203922646478,"NSW"
210,"17/03","New South Wales","Australia","-33.8688","151.2093",46,14,2.4954484450294,0.202529855872653,852.842952305479,50.0567537209866,0.224496642992016,3.42244444688581,"NSW"
267,"18/03","New South Wales","Australia","-33.8688","151.2093",47,15,2.35144509497239,0.214656611750923,1180.73281397404,58.4807703935913,0.23943621605126,3.22909774316312,"NSW"
307,"19/03","New South Wales","Australia","-33.8688","151.2093",48,16,2.35280777872656,0.213200783743945,1417.18218852406,71.6372243784163,0.237633122910279,3.25114743195511,"NSW"
353,"20/03","New South Wales","Australia","-33.8688","151.2093",49,17,2.59532450020143,0.195069153636904,1446.61870910286,94.2561462657393,0.215395032570429,3.55334079036478,"NSW"
